name,meaning
보호무역,자국 산업 보호를 위해 무역장벽을 세우는 정책.
관세,수입품에 부과되는 세금.
환율,두 통화 간의 교환 비율.
무역수지,수출과 수입의 차액.
수출,국내에서 생산한 상품을 외국으로 파는 것.
수입,외국에서 상품을 들여오는 것.
산업정책,국가가 산업 구조를 육성·개선하기 위한 정책.
농업정책,농업의 생산성·안정성을 지원하는 정책.
중소기업,규모가 작은 기업으로 경제의 중요한 부분.
스타트업,혁신적 아이디어로 빠르게 성장하는 초기 기업.
혁신,새로운 기술이나 방법을 도입하는 행위.
지식재산권,발명·창작물을 보호하는 권리(특허·저작권 등).
특허,발명자의 권리를 일정 기간 보호하는 제도.
저작권,창작자의 저작물을 보호하는 권리.
개인정보,개인에 관한 정보로 사생활 보호 대상.
데이터보호,개인정보를 안전하게 관리하는 원칙과 규정.
디지털거버넌스,디지털 사회에서의 정책·관리 체계.
사이버보안,정보시스템을 안전하게 지키는 활동.
언론검열,정부 등이 언론의 내용을 제한하는 행위.
가짜뉴스,거짓 정보로 사람들을 오도하는 보도나 게시물.
허위정보,사실과 다른 정보.
선전,정치적 목적을 위해 정보를 조직적으로 배포하는 행위.
외교,국가 간의 관계를 관리하고 조정하는 활동.
내정,한 국가의 내부 정책·사안.
주권,국가가 스스로 통치할 수 있는 권리.
주권침해,다른 국가가 주권을 침해하는 행위.
동맹,안보·이익을 위해 국가들 간에 맺는 협약.
국제기구,국가들이 참여하는 다자간 협의체(예: UN).
외교정책,국가의 대외 관계를 운영하는 전략과 방침.
경제제재,특정 국가에 경제적 압박을 가하는 조치.
제재,상대방에 대해 취하는 제재적 조치.
국제법,국가 간 관계를 규율하는 법 체계.
조약,국가 간에 맺는 공식적 합의.
비준,조약을 국내법적으로 승인하는 절차.
협상,서로의 입장을 조정해 합의를 만드는 과정.
중재,분쟁 당사자 사이에서 제3자가 해결을 돕는 행위.
분쟁,이해관계의 충돌로 인한 갈등 상황.
전쟁,무력을 사용한 국가 간 또는 단체 간 충돌.
평화,무력 충돌이 없고 안정된 상태.
안보,국가나 사회의 안전을 유지하기 위한 활동.
국방,국家的 안전을 위해 군사적 수단을 운영하는 활동.
군비증강,군사력 강화를 위해 무기와 병력 확충을 하는 것.
징병제,모든 일정 연령의 국민에게 군복무를 의무화하는 제도.
모병제,지원자에 의해 군인을 모집하는 제도.
테러,정치적 목적을 위한 폭력 행위.
테러리즘,정치적 목적을 위해 공포를 조성하는 조직적 행위.
인권침해,기본적 인권을 침해하는 모든 행위.
전범,전쟁범죄를 저지른 개인이나 단체.
국제형사재판소,전쟁범죄·인도에 반한 범죄를 다루는 국제 법정.
난민협약,난민의 권리와 국가의 의무를 규정한 국제 조약.
인도적지원,재난·분쟁 지역에 제공하는 긴급 지원.
개발원조,개발도상국의 경제·사회 발전을 지원하는 원조.
외채,국가가 외국으로부터 빌린 채무.
금융위기,금융시스템의 기능이 급격히 악화되는 상태.
구조조정,재정·경영 상태 개선을 위한 대대적 개편.
긴축,재정적자를 줄이기 위한 지출 삭감 정책.
복지감축,재정상 이유로 사회복지 지출을 줄이는 조치.
사회불안,실업·빈곤 등으로 인한 사회적 불안정 상태.
범죄,사회 규범이나 법을 위반하는 행위.
형법,범죄와 형벌을 규정한 법.
형사소송,범죄 혐의에 대해 국가가 행하는 법적 절차.
증거,사실을 입증하기 위해 제출되는 자료.
무죄추정의원칙,범죄 혐의자는 유죄가 입증될 때까지 무죄로 본다는 원칙.
공정재판,편견 없이 공정하게 이루어지는 재판.
구속영장,피의자를 구속하기 위해 법원이 발부하는 명령.
인권옹호,인권을 보호하고 증진하는 활동.
NGO,비정부기구로 시민사회에서 공익을 위해 활동하는 단체.
시민단체,시민들이 자발적으로 만든 단체로 공익을 위해 활동.
시민사회,정부 외의 조직과 집단이 구성하는 사회적 영역.
자선,사회적 약자를 돕기 위한 금전·물품의 제공.
기부,공익 목적을 위해 자발적으로 재화나 서비스를 제공하는 행위.
자원봉사,보수를 받지 않고 사회에 기여하는 활동.
공익,사회 전체의 복리와 이익.
공공서비스,정부가 제공하는 사회적 서비스(보건·교육 등).
인프라,사회경제 활동을 가능하게 하는 기반 시설(도로·전력 등).
교통정책,교통수단과 인프라 관리를 위한 정책.
주택정책,주택 공급과 주거 안정을 위한 정부 정책.
주거복지,주거의 안정과 질을 향상시키기 위한 제도.
도시계획,도시의 토지이용과 발전을 설계하는 활동.
농촌정책,농촌 경제와 생활 환경 개선을 위한 정책.
환경정책,환경 보호와 지속가능성을 위한 정책.
기후변화,지구 평균 기온 등의 장기적 변화 현상.
탄소배출권,탄소 배출을 거래할 수 있도록 허용한 권리.
재생에너지,태양광·풍력 등 자연에서 재생 가능한 에너지.
에너지안보,안정적 에너지 공급을 확보하는 정책.
원자력,원자로를 통한 에너지 생산 방식.
자원외교,자원 확보를 위한 외교 활동.
수자원,물자원 관리와 이용에 관한 정책.
식량안보,국민이 안정적으로 식량을 확보할 수 있는 상태.
보건정책,국민의 건강을 보호하기 위한 정책과 제도.
전염병,사람 간 전파되는 감염병.
백신,질병 예방을 위해 사용하는 생물학적 제제.
의료시스템,국가의 보건의료를 구성하는 조직과 제도.
구석기,석기를 사용하며 수렵·채집으로 생활한 시대
신석기,농경과 목축을 시작한 시대
청동기,청동 도구와 무기를 사용한 시대
철기,철을 사용하여 농기구와 무기를 만든 시대
메소포타미아,"세계 최초 문명, 티그리스·유프라테스강 유역"
수메르,메소포타미아 최초 도시문명
바빌로니아,함무라비 법전을 만든 고대 왕국
함무라비 법전,"눈에는 눈, 이에는 이" 원칙의 법전
이집트 문명,나일강 유역 고대 문명
피라미드,이집트 고대 왕들의 무덤
폴리스,고대 그리스 도시국가
아테네,민주주의가 발달한 그리스 도시
스파르타,군사 중심의 그리스 도시
올림픽,고대 그리스에서 시작된 체육 행사
소크라테스,"그리스 철학자, 윤리학 중심"
플라톤,이상국가를 주장한 철학자
아리스토텔레스,논리학과 자연철학 발전
로마 공화정,귀족 중심의 정치체제
로마 제국,군주 중심으로 세계를 지배한 국가
카이사르,"로마의 정치가, 군사 지도자"
비잔틴 제국,"동로마 제국, 콘스탄티노폴리스 중심"
봉건제도,영주와 농노로 구성된 정치·경제 체제
기사,봉건사회 군인 계층
성,방어 목적으로 건축된 요새
십자군,성지를 회복하기 위해 유럽에서 출발한 군사 원정
중세 대학,학문 연구와 교육 기관
길드,장인과 상인이 조직한 경제 단체
흑사병,14세기 유럽을 휩쓴 전염병
동서교류,실크로드를 통한 동서양 문화 교류
르네상스,고전문화 부흥과 인간 중심 사고의 시대
대항해시대,신항로 개척과 해외 무역 확장 시기
콜럼버스,아메리카 대륙 발견
마젤란,세계일주를 완수한 탐험가
절대왕정,왕권이 절대적인 국가 체제
루이 14세,프랑스 절대왕정 대표 인물
명나라,"중국을 통치한 왕조, 중앙집권 강화"
청나라,중국 마지막 황조
에스파냐 식민지,아메리카 대륙 정복과 지배
산업혁명,기계화와 공업 발전으로 경제 구조 변화
계몽사상,합리적 사고와 인간 권리를 강조한 사상
미국 독립전쟁,"1775~1783년, 미국의 영국으로부터 독립 전쟁"
프랑스 혁명,"1789년, 봉건제 폐지와 민주주의 확립 운동"
나폴레옹,"프랑스 혁명 이후 권력 장악, 유럽 정복"
산업혁명,기계와 공장 중심 사회 변화
시민혁명,시민 계층 중심 정치 변화
입헌군주제,왕권과 의회가 공존하는 정치 체제
민주주의,국민 주권과 법치주의 기반 정치 체제
사회주의,생산 수단 공동 소유와 평등 강조
마르크스,공산주의 사상 창시자
레닌,"러시아 혁명 지도자, 소련 수립"
제1차 세계대전,"1914~1918년, 유럽 중심 대규모 전쟁"
제2차 세계대전,"1939~1945년, 세계적인 대전"
히틀러,나치 독일 지도자
무솔리니,이탈리아 파시스트 지도자
스탈린,"소련 지도자, 공산주의 독재"
냉전,미국과 소련 간 정치·군사 대립
유엔(UN),국제 평화와 안전 유지 기구
나토(NATO),"북대서양조약기구, 군사 동맹"
EU(유럽연합),유럽 국가 간 정치·경제 연합
탈식민지화,제국주의 식민지의 독립 과정
고조선,단군이 세운 한반도 최초 국가
부여,"북방 민족, 계절별 이동과 축산 중심"
고구려,한반도 북부와 만주 지역 고대 왕국
백제,"한반도 남서부 왕국, 문화 교류 활발"
신라,"한반도 남동부 왕국, 통일 신라로 발전"
가야,"낙동강 유역, 철기 문화 발달"
삼국시대,"고구려, 백제, 신라 세 나라 경쟁"
고구려 장수왕,국내성→평양 천도
법흥왕,신라 중앙 집권과 율령 제정
김유신,신라 삼국통일 전쟁 주역
고려,918년 왕건이 세운 통일 왕조
태조 왕건,고려 건국
광종,과거제와 중앙 집권 강화
성종,유교 정치와 법제 정비
거란 침입,"10~11세기, 고려 북방 방어전"
몽골 침략,"13세기, 원나라와 고려의 관계"
팔만대장경,몽골 침략 대비 목판 인쇄
삼별초,몽골 침략 저항 세력
문벌 귀족,고려 후기 지배 세력
향리,지방 행정 관료
조선,1392년 이성계가 건국한 왕조
태조 이성계,조선 건국
세종대왕,"한글 창제, 과학·문화 발전"
훈민정음,한글의 원래 이름
집현전,학문 연구와 관료 양성 기관
성리학,조선 정치와 사상 기초
사림,유교적 가치 중시한 신진 관료
임진왜란,1592년 일본의 침략 전쟁
정유재란,임진왜란 후속 일본 침략
이순신,"조선 장군, 해전 승리"
흥선대원군,왕권 강화와 개혁 추진
병인양요,1866년 프랑스 침략
신미양요,1871년 미국 함대 공격
개화기,서구 문물 수용과 근대화 시작
갑신정변,1884년 개화당의 정치 개혁 시도
동학농민운동,1894년 농민과 개혁 운동
을미사변,1895년 명성황후 시해 사건
독립협회,근대적 개혁 운동 단체
대한제국,"1897년 고종 황제 즉위, 근대 국가 체제"
한일합병,1910년 일본이 한국 강제 병합
3·1운동,1919년 일제 식민지배에 저항한 독립운동
대한민국 임시정부,1919년 중국 상하이에 수립된 독립 정부
독립군,일제에 맞서 싸운 군사 조직
의열단,항일 무장 단체
봉오동 전투,1920년 독립군이 일본군을 격파한 전투
청산리 전투,독립군 승리 전투
문화통치,일제가 1920년대 시행한 식민지 정책
민족말살정책,일제의 한국 문화·언어 탄압 정책
신간회,민족주의와 사회주의 연합 단체
조선총독부,일제의 한국 통치 기관
광복,1945년 8월 15일 일본으로부터 해방
건국,1948년 대한민국 수립
6·25전쟁,1950~1953년 남북한 전쟁
이승만,대한민국 초대 대통령
장면,"한국의 초대 부통령, 4·19 혁명 관련"
박정희,"군사 정변으로 집권, 경제 개발 추진"
4·19혁명,"1960년 민주화 운동, 이승만 하야"
5·16군사정변,1961년 박정희 주도 쿠데타
유신체제,박정희 대통령 장기집권 체제
6월 민주항쟁,1987년 민주화 운동
러시아 혁명,"1917년, 볼셰비키 정권 수립"
볼셰비키,레닌이 이끈 사회주의 혁명 세력
소비에트,소련의 정치 조직 단위
파시즘,강력한 국가주의와 독재 체제
나치,히틀러가 이끈 독일 극우 정당
홀로코스트,나치 독일 유대인 대학살
대공황,1929년 미국 경제 붕괴
뉴딜정책,미국 루즈벨트의 경제 회복 정책
국제연맹,제1차 세계대전 후 평화 유지 기구
냉전,미국과 소련 중심 세계 양극 체제
메이지유신,"일본 근대화, 중앙집권 강화"
청일전쟁,"1894~1895년, 청나라와 일본의 전쟁"
러일전쟁,"1904~1905년, 러시아와 일본의 전쟁"
신해혁명,"1911년 중국 청나라 멸망, 공화제 수립"
장제스,중국 국민당 지도자
마오쩌둥,"중국 공산당 창립자, 중화인민공화국 수립"
인도 독립운동,간디 중심 비폭력 운동
파키스탄,1947년 인도 분리 독립
베트남 독립전쟁,프랑스·미국에 맞선 항쟁
한·중·일 근대사,각국의 개혁과 제국주의 경험
산업혁명,18~19세기 영국 중심 산업 발전
프랑스 혁명,"1789년 자유, 평등, 박애 강조"
나폴레옹 전쟁,유럽 전역 정복과 정치 개혁
빈체제,나폴레옹 전쟁 후 유럽 질서
1848년 혁명,유럽 자유·민주화 운동
독일통일,1871년 비스마르크 주도 통일
이탈리아통일,19세기 주세페 가리발디 중심 통일
제1차 세계대전,"1914~1918년, 유럽 중심 전쟁"
제2차 세계대전,"1939~1945년, 전 세계 전쟁"
유럽연합(EU),전후 경제·정치 연합
독립선언,1776년 미국 독립 선언
헌법,미국 정부의 기본 법
링컨,노예제 폐지와 남북전쟁 지도자
남북전쟁,"1861~1865년, 연방과 남부 분쟁"
뉴딜정책,경제 대공황 극복 정책
민권운동,흑인 차별 철폐 운동
마틴 루터 킹,민권운동 지도자
월스트리트,미국 금융 중심지
미국 독립혁명,영국 식민지 탈피 전쟁
냉전 미국 정책,대소련 견제 전략
베트남전쟁,미국과 북베트남 전쟁
한국전쟁,1950~1953년 남북 전쟁
아프리카 식민지 해방,20세기 중반 독립
쿠바 혁명,1959년 카스트로 주도
걸프전,1990~1991년 이라크 쿠웨이트 침공
9·11 테러,2001년 미국 테러 사건
아랍의 봄,2010년 중동 민주화 운동
베를린 장벽,1961~1989년 동서 분단 상징
소련 붕괴,1991년 공산권 붕괴
냉전 종식,"동구권 해체, 세계 양극 체제 종료"
민주주의,국민이 권력을 행사하는 정치 체제
공산주의,생산 수단 공동 소유와 평등 사회
사회주의,경제와 사회 평등을 강조하는 체제
자본주의,시장 경제와 사적 소유 기반 체제
파시즘,전체주의적 국가 중심 체제
제국주의,해외 식민지 확장 정책
민족주의,국가·민족 중심 사상
계몽주의,합리적 사고와 인권 강조 사상
르네상스,고전문화 부흥과 인간 중심 사상
산업혁명,기계화와 자본주의 발전
구텐베르크,"인쇄술 발명, 지식 확산"
문예부흥,르네상스 시대 예술 부흥
바로크,화려한 17세기 예술 양식
로코코,섬세하고 우아한 18세기 예술
인상주의,빛과 색을 중시한 19세기 미술
사실주의,현실 묘사 중시 미술 운동
근대문학,개인과 사회를 탐구한 문학
고전문명,그리스·로마 중심 문명
동양사,"중국, 일본, 인도 문명 역사"
중세문화,교회와 기사 중심 문화
민족독립운동,식민지에서 독립을 위해 투쟁
시민혁명,시민 중심 정치 변화
농민운동,농민 계층의 권리 주장
노동운동,노동자 권리와 근로 조건 개선 운동
혁명,기존 정치·사회 질서 근본적 변화
쿠데타,일부 세력이 정권을 강제로 장악
민중봉기,대중이 주도한 정치적 저항
저항운동,억압과 불평등에 맞선 투쟁
사회개혁운동,사회 제도 개선과 권리 확립
국제연합(UN),"평화와 안전, 인권 보호 국제기구"
르네상스,14~16세기 유럽에서 고대 문화를 부흥시킨 문화운동
바로크,17세기 유럽의 화려하고 역동적인 예술 양식
로코코,18세기 유럽의 섬세하고 장식적인 예술 양식
고딕,중세 유럽의 뾰족한 아치와 스테인드글라스 양식
인상주의,빛과 순간의 인상을 표현한 회화 사조
후기인상주의,인상주의 이후 색채와 형태를 실험한 미술
큐비즘,피카소와 브라크가 주도한 입체적 예술 사조
초현실주의,무의식과 꿈의 세계를 표현한 20세기 예술 운동
모더니즘,전통을 거부하고 새로운 표현을 추구한 근대 예술
포스트모더니즘,모더니즘 이후 전통과 혼합을 강조한 예술 경향
팝아트,대중문화를 예술에 도입한 현대 미술
추상표현주의,감정과 무의식을 추상적으로 표현한 예술 운동
미니멀리즘,단순함과 최소한의 요소로 표현하는 예술 사조
표현주의,강렬한 감정과 주관적 관점을 강조한 미술
상징주의,상징을 통해 사물이나 개념을 표현한 미술
다다이즘,기존의 전통적 예술을 부정하고 파격을 추구한 운동
설치미술,공간에 설치하여 감각을 자극하는 현대미술
퍼포먼스아트,행위 자체가 예술이 되는 예술 형태
미디어아트,"영상, 디지털 매체를 활용한 현대 예술"
판화,판에 새긴 그림을 찍어내는 예술
건축,공간과 구조물을 설계하고 창조하는 예술
조각,"돌, 금속, 목재 등을 조형하는 예술"
건축양식,건물의 구조와 미적 특성을 반영한 스타일
모뉴먼트,역사적·기념적 의미를 담은 기념 건축물
고전주의,그리스·로마의 고전적 미학을 따른 건축 및 예술
아르누보,곡선과 식물 문양을 강조한 19세기 말 양식
아르데코,직선적이고 기하학적 장식의 20세기 초 양식
일본식 정원,자연과 조화를 이루는 일본 전통 정원
프랑스식 정원,대칭과 질서를 강조하는 정원 양식
공공미술,공공장소에 설치되는 예술 작품
현대조각,전통 조각 형식에서 벗어난 현대적 표현
건축디자인,"건물의 미적, 기능적 설계를 포함한 예술"
랜드아트,자연 환경을 활용한 예술
조형예술,형태와 구조를 강조한 미술 활동
대리석조각,대리석을 사용한 전통 조각
국악,한국 전통 음악
클래식,서양 전통 음악
재즈,아프리카계 미국인의 음악에서 발전한 장르
블루스,미국 남부 흑인 음악에서 기원한 장르
록,전기 기타 중심의 대중음악 장르
팝,대중적 유행 음악
힙합,랩과 비트 중심의 음악과 문화
EDM,전자기기 기반 댄스 음악
오페라,"노래와 연기, 음악을 결합한 공연 예술"
뮤지컬,"노래, 연기, 춤이 결합된 공연 예술"
발레,음악과 안무를 결합한 무용 예술
관현악,여러 악기로 구성된 오케스트라 연주
합창,여러 명이 화음을 이루어 노래하는 음악
작곡,음악 작품을 창작하는 활동
편곡,기존 곡을 새로운 방식으로 변형하는 것
국악기,한국 전통 악기
서양악기,"바이올린, 피아노 등"
전자음악,전자 장비로 제작한 음악
음악감상,"음악을 감각적, 정서적으로 체험하는 활동"
즉흥연주,즉석에서 만드는 음악 연주
소설,허구 이야기를 장편으로 구성한 문학
단편소설,짧게 구성된 허구 이야기
시,운율과 형식을 통해 감정을 표현
수필,일상적 경험과 생각을 자유롭게 표현
희곡,연극 공연을 목적으로 쓰인 문학
비평,문학이나 예술 작품을 분석하고 평가
번역,다른 언어 작품을 이해할 수 있게 옮기는 활동
고전문학,시대를 초월해 가치 있는 문학 작품
현대문학,현대적 감각과 주제를 다룬 문학
신화,민족 전통 속 신과 영웅 이야기를 담은 이야기
우화,교훈을 담은 이야기
설화,구전으로 전해 내려오는 이야기
시조,한국 전통 정형시
한시,중국 전통 시
판소리,이야기와 노래를 결합한 한국 전통 공연 문학
연극,"배우와 무대, 스토리를 통해 표현하는 예술"
공연예술,"연극, 음악, 무용 등 무대 예술 전반"
인형극,인형을 이용한 공연 예술
거리공연,공공장소에서 이루어지는 공연
마임,몸짓과 표정으로 이야기를 표현하는 공연
서커스,곡예와 공연이 결합된 예술
무대미술,공연 무대의 배경과 장치 설계
의상디자인,공연에서 등장인물 의상 제작
조명디자인,공연에서 조명을 활용한 연출
사운드디자인,공연에서 음향 효과를 설계
무용,몸의 움직임을 통해 감정을 표현하는 예술
현대무용,전통적 형식에서 벗어난 현대적 무용
전통무용,민속과 역사적 배경을 가진 무용
퍼포먼스,관객과 상호작용하며 이루어지는 예술 행위
뮤지컬극,"음악과 연극, 춤을 결합한 공연"
그래픽디자인,시각적 요소를 활용한 정보 전달
인테리어디자인,공간의 미적·기능적 설계
패션디자인,의복과 액세서리 창작
산업디자인,상품과 제품의 기능과 미적 설계
UX/UI,사용자 경험과 인터페이스 디자인
사진예술,카메라를 활용한 시각 예술
영상예술,영상 매체를 활용한 예술
디지털아트,컴퓨터로 제작한 예술
일러스트레이션,삽화 및 시각적 표현
캐릭터디자인,창작 캐릭터의 외형과 특징 설계
아이덴티티디자인,브랜드의 시각적 정체성 디자인
패키지디자인,제품 포장의 디자인
웹디자인,웹사이트의 시각적 구성과 인터페이스
전시디자인,전시 공간과 작품 배치 설계
미술교육,미술을 교육하는 활동
수채화,물감을 물로 희석하여 그리는 회화 기법
유화,기름을 매개로 한 회화 기법
판화,판에 새긴 그림을 찍어내는 미술 기법
도예,점토를 이용한 공예와 예술
공예,손으로 만든 생활용품과 예술 작품
조형예술,형태와 구조를 강조한 미술 활동
입체파,"큐비즘의 한 유형, 다면적 시각 강조"
미래파,"속도와 기계, 현대성을 강조한 미술 운동"
옵아트,착시와 시각 효과를 활용한 예술
스트리트아트,거리에서 이루어지는 현대 미술
그래피티,스프레이 등을 활용한 거리 그림
아트마켓,예술 작품을 거래하는 시장
미술관,미술 작품을 전시하는 공간
박물관,"문화재와 예술품을 수집, 보존, 전시"
갤러리,예술 작품을 상설 또는 임시 전시하는 공간
예술교육,"미술, 음악, 공연 등을 교육하는 활동"
예술치료,예술을 활용한 심리치료
예술경영,예술 기관과 사업 운영
아트페어,작품을 거래하고 전시하는 행사
문화산업,예술과 문화 콘텐츠를 경제적으로 활용하는 산업
국악기,"장구, 가야금, 해금 등 전통 악기"
서양악기,"바이올린, 피아노, 첼로 등"
관악기,"플루트, 클라리넷, 트럼펫 등"
타악기,"드럼, 징, 심벌즈 등"
현악기,"바이올린, 첼로, 기타 등"
전자음악,전자 장비로 제작한 음악
즉흥연주,순간적으로 만들어지는 연주
합주,여러 악기가 함께 연주
솔로,혼자 연주하거나 노래하는 음악
레코딩,음악을 녹음하고 편집하는 과정
믹싱,여러 트랙을 조합하여 최종 음악 제작
마스터링,최종 음질과 볼륨 조절 작업
음악이론,음악 구조와 조화 연구
화성학,음의 조화와 진행을 연구
음계,음악에서 음을 배열한 체계
리듬,시간적 간격과 박자 패턴
박자,음악에서 리듬의 단위
멜로디,음의 흐름과 선율
하모니,"화음, 멜로디 간의 조화"
폴리포니,여러 선율이 동시에 진행되는 음악
장르문학,"특정 장르를 중심으로 한 문학 (판타지, SF 등)"
판타지,상상의 세계를 배경으로 한 문학
SF,과학적 상상력을 기반으로 한 문학
추리소설,사건 해결을 중심으로 한 이야기
호러,공포를 주제로 한 문학
로맨스,사랑을 주제로 한 문학
역사소설,역사적 사건을 배경으로 한 문학
전기,특정 인물의 생애 기록
자서전,자신이 직접 쓴 생애 기록
회고록,자신의 경험과 기억을 회상하여 기록
